F:\2306\RC\230619\empty_0_1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\220907_Pyc\NI_30min_3.d ,1,4.956,5.471,5.943,2765,19020,100,100,100,0.987,,0,1180,0,1180,,3382,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_3.d ,1,5.09,5.865,6.619,1886,27041,100,100,100,1.529,,0,0,0,0,,1886,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_2.d ,1,5.287,5.863,6.556,2570,33170,100,100,100,1.269,,0,0,0,0,,2570,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_2.d ,1,5.019,5.563,6.061,3571,34523,100,100,100,1.042,,0,1440,0,1440,,4322,,,MM,,,,,M,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\pyc_HCT_dil_1.d ,1,5.304,5.875,6.623,2329,34540,100,100,100,1.319,,0,0,0,0,,2329,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_1.d ,1,4.919,5.562,5.995,3426,38253,100,100,100,1.075,,0,640,0,640,,3809,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_3.d ,1,5.122,5.571,6.047,3118,38424,100,100,100,0.926,,0,1024,0,1024,,3615,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_2.d ,1,5.02,5.436,6.029,4875,46051,100,100,100,1.009,,0,783,0,783,,5198,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_1.d ,1,4.968,5.511,6.06,3617,47739,100,100,100,1.092,,0,801,0,801,,4016,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_2.d ,1,4.97,5.541,6.295,2838,51462,100,100,100,1.325,,0,495,0,495,,3051,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_0min_2.d ,1,4.973,5.577,6.06,4860,54739,100,100,100,1.087,,0,1025,0,1025,,5430,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_1.d ,1,5.087,5.453,6.129,3617,57148,100,100,100,1.042,,0,600,0,600,,3827,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_4hr_3.d ,1,5.172,5.566,6.098,4212,60441,100,100,100,0.926,,0,722,0,722,,4519,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_2.d ,1,5.02,5.475,6.162,5289,64763,100,100,100,1.142,,0,735,0,735,,5582,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_30min_1.d ,1,4.784,5.433,6.082,4207,65487,100,100,100,1.297,,0,482,0,482,,4447,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_2.d ,1,5.006,5.477,6.148,4208,67594,100,100,100,1.142,,0,439,0,439,,4389,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_2hr_2.d ,1,4.951,5.511,6.076,4481,67601,100,100,100,1.125,,0,633,0,633,,4796,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\NI_1hr_2.d ,1,5.12,5.436,6.113,4597,68261,100,100,100,0.992,,0,691,0,691,,4817,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_3.d ,1,5.019,5.518,6.178,4280,69476,100,100,100,1.159,,0,534,0,534,,4510,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_1.d ,1,5.072,5.46,6.23,5055,72861,100,100,100,1.159,,421,0,421,0,,5335,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_1hr_3.d ,1,4.989,5.427,6.164,4733,74910,100,100,100,1.175,,0,724,0,724,,5003,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_2hr_1.d ,1,5.039,5.494,6.098,5163,75947,100,100,100,1.059,,0,0,0,0,,5163,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_4hr_3.d ,1,4.887,5.53,6.245,3886,79505,100,100,100,1.358,,0,0,0,0,,3886,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_4.d ,1,4.584,5.626,6.397,6097,87744,100,100,100,1.813,,0,1352,0,1352,,6874,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_1.d ,1,4.918,5.444,6.232,5086,88981,100,100,100,1.314,,0,234,0,234,,5180,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_3.d ,1,5.056,5.433,6.232,5920,103674,100,100,100,1.175,,0,298,0,298,,6016,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\PI_30min_2.d ,1,4.818,5.416,6.265,5501,108624,100,100,100,1.447,,0,0,0,0,,5501,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_1.d ,1,4.869,5.492,5.98,7116.89,132877.29,100,100,100,0.311,,0,0,,,,,0,69.75,1,7239.42,,,  ,248.9699,,,,,,,,,,,
F:\2306\RC\230619\mal_120_1.d ,1,4.127,4.952,5.98,8580.95,138286.6,100,100,100,0.527,,0,0,,,,,28.09,118.18,1.08,11343.07,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nad_1.d ,1,4.138,4.94,5.991,7279.28,145121.15,100,100,100,0.332,,0,0,,,,,29.34,73.46,0.95,9757.49,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_2.d ,1,4.818,5.45,6.215,11650,149348,100,100,100,1.397,,0,0,0,0,,11650,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\mal_120_2.d ,1,4.127,4.95,5.98,8851.29,152257.97,100,100,100,0.287,,0,0,,,,,26.09,58.12,0.93,10953.47,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_1.d ,1,4.125,4.928,5.978,7938.76,157691.82,100,100,100,0.331,,0,0,,,,,0,80,0.94,12390.27,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_120_1.d ,1,4.127,4.96,5.98,10145.78,158753.81,100,100,100,0.261,,0,441.31,,,,,11.75,62.91,0.95,11234.46,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_240_1.d ,1,4.127,4.953,5.98,10301.41,161232.19,100,100,100,0.261,,0,0,,,,,0,127.48,0.99,9732.4,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_120_2.d ,1,4.124,4.957,5.977,11411.34,164052.47,100,100,100,0.505,,0,0,,,,,0,35.91,1.03,12762.41,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_240_2.d ,1,4.127,4.964,5.98,10770.35,164680.14,100,100,100,0.255,,0,0,,,,,0,55.14,0.96,11097.15,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_120_1.d ,1,4.127,4.956,5.979,11416.36,188063.71,100,100,100,0.275,,0,0,,,,,0,0.66,0.95,11176.28,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_240_1.d ,1,4.126,4.956,5.979,12599.99,189769.53,100,100,100,0.251,,0,0,,,,,0,97.28,0.96,13066.27,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_240_1.d ,1,4.133,4.957,5.985,11417.03,189773.57,100,100,100,0.277,,0,0,,,,,47.34,142.93,0.96,14467.02,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_5.d ,1,5.053,5.574,6.384,9018,191856,100,100,100,1.33,,0,1835,0,1835,,9737,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\ser_240_1.d ,1,4.125,4.963,5.978,13101.74,193972.11,100,100,100,0.247,,0,0,,,,,26.13,28.37,0.96,12117.58,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_240_2.d ,1,4.126,4.951,5.978,12537.69,198075.69,100,100,100,0.263,,0,0,,,,,0,35.46,0.95,15326.81,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_240_2.d ,1,4.127,4.96,5.98,13111.75,200234.15,100,100,100,0.255,,0,556.07,,,,,0,44.41,0.93,14180.5,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_2.d ,1,4.125,4.934,5.978,10664.4,202399.92,100,100,100,0.559,,0,0,,,,,20,59.68,1.14,13623.98,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nadp_2.d ,1,4.141,4.919,5.994,18362.01,203359.86,100,100,100,0.185,,0,0,,,,,16.53,43.09,0.95,14116.78,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\220907_Pyc\std_3.d ,1,5.106,5.533,6.397,9926,207812,100,100,100,1.292,,0,0,0,0,,9926,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_1.d ,1,4.138,4.93,5.99,17269.64,214923.35,100,100,100,0.207,,0,0,,,,,18.06,93.38,0.94,18141.1,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_30_2.d ,1,4.124,4.931,5.977,11601.81,219715.33,100,100,100,0.316,,0,0,,,,,9.22,196.37,0.98,17408.36,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_30_2.d ,1,4.123,4.933,5.976,12158.24,224039.51,100,100,100,0.307,,0,0,,,,,35.63,5.19,0.92,15586.72,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_30_1.d ,1,4.125,4.925,5.978,11533.88,230069.44,100,100,100,0.332,,0,0,,,,,21.5,84.85,0.94,16490.58,,,  ,248.9721,,,,,,,,,,,
D:\Projects\Marchand\Data\Carothers\231212_pyc_HANDMIX\HCT_dil_1.d ,1,5.155,5.859,6.363,17606,232805,100,100,100,1.208,,0,2452,0,-963,,17045,,,MM,,,,,M,,,,,,,,,,,
F:\2306\RC\230619\ser_240_2.d ,1,4.138,4.949,5.99,13627.57,247008.31,100,100,100,0.556,,0,0,,,,,11.88,16.83,1.17,20837.9,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_120_2.d ,1,4.123,4.947,5.976,17643.55,294994.33,100,100,100,0.279,,0,0,,,,,34.44,47.53,0.93,18539.94,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_2.d ,1,4.125,4.91,5.978,26177.27,306561.68,100,100,100,0.195,,0,0,,,,,13.59,55.95,0.94,24708.83,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_1.d ,1,4.139,4.914,5.991,28745.91,308827.8,100,100,100,0.179,,0,0,,,,,0,74.04,0.95,25496.7,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_30_1.d ,1,4.127,4.915,5.98,25957.71,311226.64,100,100,100,0.2,,0,238.41,,,,,0,39.77,0.94,27977.97,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\neg_nad_2.d ,1,4.14,4.923,5.993,27107.54,311883.62,100,100,100,0.192,,0,0,,,,,57.41,153.11,0.94,25939.51,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_480_1.d ,1,4.124,4.949,5.976,20129.74,318298.82,100,100,100,0.264,,0,266.42,,,,,0,49.31,0.94,21748.25,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_0_1.d ,1,4.126,4.908,5.979,28536.35,323322.55,100,100,100,0.189,,0,0,,,,,5.03,53.34,0.95,27513.99,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_240_1.d ,1,4.138,4.937,5.991,16823.4,324823.07,100,100,100,0.322,,0,534.27,,,,,0,55.03,0.95,25334.58,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_2.d ,1,4.127,4.947,5.98,19261.37,329480.3,100,100,100,0.536,,0,0,,,,,0,53.08,1.07,22186.07,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_2.d ,1,4.136,4.912,5.993,31848.61,334669.76,100,100,100,0.175,,0,0,,,,,0,135.17,0.96,27506.45,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_480_1.d ,1,4.129,4.946,5.981,21087.24,337833.68,100,100,100,0.267,,0,0,,,,,22.44,119.23,0.97,26279.06,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_480_2.d ,1,4.128,4.947,5.98,20510.42,338129.73,100,100,100,0.275,,0,0,,,,,13.72,40.61,0.95,28373.88,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_480_2.d ,1,4.13,4.935,5.983,18915.78,338206.42,100,100,100,0.298,,0,0,,,,,21.34,59.84,0.94,28530.02,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\pyr_0_2.d ,1,4.138,4.913,5.99,32290.72,347121.25,100,100,100,0.179,,0,0,,,,,29.69,68.42,0.94,29751.57,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_0_1.d ,1,4.125,4.909,5.978,30643.98,350358.32,100,100,100,0.191,,0,0,,,,,47.84,83.66,0.94,32131.52,,38.46,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\mal_480_1.d ,1,4.128,4.934,5.981,19833.8,351549.07,100,100,100,0.295,,0,0,,,,,12.28,31.76,0.95,30478.61,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_120_1.d ,1,4.137,4.931,5.99,28320.04,353702.6,100,100,100,0.208,,0,0,,,,,20.41,83.45,0.95,31316.91,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_2.d ,1,4.13,4.941,5.983,20529.52,353820.55,100,100,100,0.287,,0,0,,,,,13.31,49.25,0.94,26523.81,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_1.d ,1,4.126,4.946,5.979,22005.21,356033.59,100,100,100,0.27,,0,0,,,,,21.06,79.61,0.94,29313.13,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_240_2.d ,1,4.122,4.944,5.975,21725.13,356582.57,100,100,100,0.274,,0,0,,,,,0,62.28,0.95,28612.6,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_480_2.d ,1,4.125,4.948,5.978,23167.79,359698.26,100,100,100,0.259,,0,0,,,,,0,24.4,0.95,26242.14,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\empty_480_1.d ,1,4.131,4.934,5.984,20160.96,369576.7,100,100,100,0.561,,0,0,,,,,0,125.36,1.22,31603.48,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_120_2.d ,1,4.122,4.941,5.975,23561.72,388616.84,100,100,100,0.275,,0,0,,,,,0,142.37,0.95,32110.65,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_0_1.d ,1,4.138,4.911,5.991,39048.64,403673.53,100,100,100,0.172,,0,343.2,,,,,0,129.88,0.95,35841.09,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_30_2.d ,1,4.138,4.916,5.99,39768.03,429150.48,100,100,100,0.18,,0,0,,,,,0,211.43,0.95,41742.42,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\ser_0_2.d ,1,4.137,4.909,5.99,43191.24,438667.59,100,100,100,0.169,,0,0,,,,,15.53,79.88,0.95,36802.56,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_0_1.d ,1,4.137,4.908,5.989,48601.68,487651.54,100,100,100,0.167,,280.33,0,,,,,24,99.1,0.94,46622.99,,,  ,248.9721,,,,,,,,,,,
F:\2306\RC\230619\gly_0_2.d ,1,4.135,4.907,5.987,48922.68,492496.38,100,100,100,0.168,,0,0,,,,,43.16,169.61,0.95,46304.29,,,  ,248.9721,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,1,3.273,3.772,4.271,2424,978,100,100,100,0.998,,0,0,0,0,,2424,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.053,3.635,4.251,2663,2505,100,100,100,1.197,,0,0,0,0,,2663,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,3.202,3.695,4.321,2562,2936,100,100,100,1.12,,0,0,0,0,,2562,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,3.011,3.654,4.214,4666,3282,100,100,100,1.203,,0,0,0,0,,4666,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,3.182,3.681,4.202,4029,3311,100,100,100,1.02,,0,0,0,0,,4029,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.043,3.63,4.151,3360,4469,100,100,100,1.109,,0,0,0,0,,3360,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.17,3.613,4.493,753.92,6292.79,100,100,100,0.139,,0,0,,,,,0,10.31,1.01,0,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,2.984,3.638,4.154,4655,6910,100,100,100,1.17,,0,0,0,0,,4655,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.065,3.642,4.113,6244,12930,100,100,100,1.048,,0,0,0,0,,6244,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,3.121,3.636,4.224,6221,16949,100,100,100,1.103,,0,0,0,0,,6221,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.2,3.621,4.076,8760,19005,100,100,100,0.876,,0,0,0,0,,8760,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.205,3.621,3.964,9248,19025,100,100,100,0.759,,0,0,0,0,,9248,,100,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.183,3.609,4.506,2979.21,19157.83,100,100,100,0.107,,0,0,,,,,0,0,0.95,6200.39,,,  ,104.0307,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.398,4.243,4.51,141.87,19404.17,100,100,100,2.28,,0,0,,,,,0,0,29.25,697.31,,,  ,346.0573,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.123,3.628,4.055,8581.49,20514.56,100,100,100,0.931,,0,0,0,0,,8581.49,,100,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,3.053,3.635,4.356,7505,21370,100,100,100,1.303,,0,0,0,0,,7505,,,MM,,,,,M,,,,,,,,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.082,3.626,4.191,8325,22006,100,100,100,1.109,,0,0,0,0,,8325,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.105,3.626,4.186,8669,24299,100,100,100,1.081,,0,0,0,0,,8669,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,2.985,3.633,4.232,11204,26745,100,100,100,1.247,,0,0,0,0,,11204,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_07.d ,1,3.631,3.875,4.246,807,481,100,100,100,0.615,,0,0,0,0,,807,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_03.d ,1,3.586,3.913,4.456,705,700,100,100,100,0.87,,0,0,0,0,,705,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_07.d ,1,3.458,3.913,4.329,1601,763,100,100,100,0.87,,0,0,0,0,,1601,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_06.d ,1,3.537,3.886,4.213,1519,1620,100,100,100,0.676,,0,0,0,0,,1519,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_04.d ,1,3.53,3.907,4.272,2255,1694,100,100,100,0.743,,0,0,0,0,,2255,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_05.d ,1,3.558,3.897,4.246,2000,1727,100,100,100,0.687,,0,0,0,0,,2000,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_06.d ,1,3.568,3.906,4.294,2209,2280,100,100,100,0.726,,0,0,0,0,,2209,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_04.d ,1,3.484,3.916,4.604,1632,2359,100,100,100,1.12,,0,0,0,0,,1632,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_03.d ,1,3.463,3.896,4.284,2009,2505,100,100,100,0.82,,0,0,0,0,,2009,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_05.d ,1,3.536,3.913,4.273,2061,3095,100,100,100,0.737,,0,0,0,0,,2061,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_01.d ,1,3.528,3.916,4.481,1692,3391,100,100,100,0.953,,0,0,0,0,,1692,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_02.d ,1,3.537,3.919,4.429,2150,3755,100,100,100,0.893,,0,0,0,0,,2150,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_00.d ,1,3.57,3.916,4.483,745.68,3968.44,100,100,100,0.089,,0,0,,,,,0,0,1.05,1821.02,,24.54,  ,248.9707,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\R_00.d ,1,3.566,3.915,4.491,2080,3970,100,100,100,0.926,,0,0,0,0,,2080,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_01.d ,1,3.595,3.894,4.449,3038,4029,100,100,100,0.854,,0,0,0,0,,3038,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\220608_Pyc\N_02.d ,1,3.683,3.906,4.096,1170.52,4076.34,100,100,100,0.058,,0,0,,,,,0,0,1.02,2448.05,,,  ,248.9707,,,,,,,,,,,
