,Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species,Relative
303,C02702,,Metabolite,0.001,,,,,v304
304,C00059,,Metabolite,0.001,,,,,v305
308,C03794,,Metabolite,0.001,,,,,v309
310,C03148,,Metabolite,0.001,,,,,v311
311,C03508,,Metabolite,0.001,,,,,v312
313,C04261,,Metabolite,0.001,,,,,v314
316,C04640,,Metabolite,0.001,,,,,v317
319,C00170,,Metabolite,0.001,,,,,v320
321,C03785,,Metabolite,0.001,,,,,v322
323,C16254,,Metabolite,0.001,,,,,v324
324,C00091,,Metabolite,0.23,,,,,v325
325,C00005,,Metabolite,0.12,,,,,v326
327,C00106,,Metabolite,0.001,,,,,v328
330,C00672,,Metabolite,0.001,,,,,v331
331,C03125,,Metabolite,0.001,,,,,v332
332,C00522,,Metabolite,0.001,,,,,v333
333,C11440,,Metabolite,0.001,,,,,v334
334,C00718,,Metabolite,0.001,,,,,v335
335,C00270,,Metabolite,0.001,,,,,v336
336,C00655,,Metabolite,0.001,,,,,v337
337,C00003,,Metabolite,0.001,,,,,v338
341,C01644,,Metabolite,0.001,,,,,v342
343,C00015,,Metabolite,0.001,,,,,v344
345,C00010,,Metabolite,1.4,,,,,v346
347,C16155,,Metabolite,0.001,,,,,v348
348,C00085,,Metabolite,0.001,,,,,v349
353,C01977,,Metabolite,0.001,,,,,v354
355,C03127,,Metabolite,0.001,,,,,v356
356,C00342,,Metabolite,0.001,,,,,v357
357,C13378,,Metabolite,0.001,,,,,v358
358,C00036,,Metabolite,0.0,,,,,v359
359,C04376,,Metabolite,0.001,,,,,v360
360,C15998,,Metabolite,0.001,,,,,v361
362,C01645,,Metabolite,0.001,,,,,v363
364,C00197,,Metabolite,1.5,,,,,v365
365,C00279,,Metabolite,0.0,,,,,v366
370,C04620,,Metabolite,0.001,,,,,v371
372,C06006,,Metabolite,0.001,,,,,v373
373,C15556,,Metabolite,0.001,,,,,v374
379,C01103,,Metabolite,0.001,,,,,v380
380,C00137,,Metabolite,0.001,,,,,v381
384,C11453,,Metabolite,0.001,,,,,v385
385,C00022,,Metabolite,0.0,,,,,v386
386,C11811,,Metabolite,0.001,,,,,v387
387,C00430,,Metabolite,0.001,,,,,v388
390,C00669,,Metabolite,0.001,,,,,v391
391,C00158,,Metabolite,0.001,,,,,v392
393,C05649,,Metabolite,0.001,,,,,v394
394,C03798,,Metabolite,0.001,,,,,v395
395,C01102,,Metabolite,0.001,,,,,v396
396,C00263,,Metabolite,0.001,,,,,v397
399,C11838,,Metabolite,0.001,,,,,v400
402,C00083,,Metabolite,0.001,,,,,v403
406,C00046,,Metabolite,0.001,,,,,v407
408,C00065,,Metabolite,0.001,,,,,v409
409,C00229,,Metabolite,0.001,,,,,v410
411,C04823,,Metabolite,0.001,,,,,v412
413,C00086,,Metabolite,0.001,,,,,v414
415,C00138,,Metabolite,0.001,,,,,v416
417,C02412,,Metabolite,0.001,,,,,v418
418,C03546,,Metabolite,0.001,,,,,v419
419,C00314,,Metabolite,0.001,,,,,v420
420,C00459,,Metabolite,0.001,,,,,v421
422,C00053,,Metabolite,0.001,,,,,v423
423,C00092,,Metabolite,5.0,,,,,v424
424,C01097,,Metabolite,0.001,,,,,v425
425,C03939,,Metabolite,0.001,,,,,v426
426,C00139,,Metabolite,0.001,,,,,v427
427,C00029,,Metabolite,0.001,,,,,v428
430,C00074,,Metabolite,0.18,,,,,v431
431,C16634,,Metabolite,0.001,,,,,v432
434,C00058,,Metabolite,0.0,,,,,v435
435,C00047,,Metabolite,0.001,,,,,v436
436,C00673,,Metabolite,0.001,,,,,v437
438,C03082,,Metabolite,0.001,,,,,v439
439,C00024,,Metabolite,0.61,,,,,v440
440,C00044,,Metabolite,0.001,,,,,v441
441,C11824,,Metabolite,0.001,,,,,v442
442,C00112,,Metabolite,0.001,,,,,v443
443,C00365,,Metabolite,0.001,,,,,v444
445,C11638,,Metabolite,0.001,,,,,v446
446,C03723,,Metabolite,0.001,,,,,v447
448,C05526,,Metabolite,0.001,,,,,v449
449,C01647,,Metabolite,0.001,,,,,v450
450,C01024,,Metabolite,0.001,,,,,v451
452,C00201,,Metabolite,0.001,,,,,v453
453,C14180,,Metabolite,0.001,,,,,v454
454,C03838,,Metabolite,0.001,,,,,v455
456,C00103,,Metabolite,0.001,,,,,v457
460,C00407,,Metabolite,0.001,,,,,v461
462,C01640,,Metabolite,0.001,,,,,v463
463,C06311,,Metabolite,0.001,,,,,v464
468,C00493,,Metabolite,0.001,,,,,v469
469,C00011,,Metabolite,0.001,,,,,v470
471,C01648,,Metabolite,0.001,,,,,v472
475,C00105,,Metabolite,0.001,,,,,v476
476,C00077,,Metabolite,0.001,,,,,v477
477,C04732,,Metabolite,0.001,,,,,v478
478,C01031,,Metabolite,0.001,,,,,v479
479,C00063,,Metabolite,0.001,,,,,v480
480,C04283,,Metabolite,0.001,,,,,v481
482,C00009,,Metabolite,0.001,,,,,v483
484,C16565,,Metabolite,0.001,,,,,v485
485,C06156,,Metabolite,0.001,,,,,v486
487,C04146,,Metabolite,0.001,,,,,v488
489,C01185,,Metabolite,0.001,,,,,v490
494,C01653,,Metabolite,0.001,,,,,v495
495,C01242,,Metabolite,0.001,,,,,v496
501,C00860,,Metabolite,0.001,,,,,v502
503,C00506,,Metabolite,0.001,,,,,v504
504,C01346,,Metabolite,0.001,,,,,v505
507,C00354,,Metabolite,15.0,,,,,v508
508,C00042,,Metabolite,7.1692,,,,,v509
509,C00124,,Metabolite,0.001,,,,,v510
512,C01236,,Metabolite,0.0,,,,,v513
513,C03657,,Metabolite,0.001,,,,,v514
514,C00704,,Metabolite,0.001,,,,,v515
515,C00144,,Metabolite,0.001,,,,,v516
518,C01322,,Metabolite,0.001,,,,,v519
522,C05528,,Metabolite,0.001,,,,,v523
524,C16255,,Metabolite,0.001,,,,,v525
527,C11477,,Metabolite,0.001,,,,,v528
530,C03511,,Metabolite,0.001,,,,,v531
532,C06059,,Metabolite,0.001,,,,,v533
533,C00051,,Metabolite,0.001,,,,,v534
535,C00438,,Metabolite,0.001,,,,,v536
538,C00149,,Metabolite,1.7,,,,,v539
539,C01100,,Metabolite,0.001,,,,,v540
540,C01267,,Metabolite,0.001,,,,,v541
541,C00097,,Metabolite,0.001,,,,,v542
542,C00243,,Metabolite,0.001,,,,,v543
546,C00615,,Metabolite,0.001,,,,,v547
548,C01642,,Metabolite,0.001,,,,,v549
552,C06250,,Metabolite,0.001,,,,,v553
553,C01419,,Metabolite,0.001,,,,,v554
554,C00008,,Metabolite,0.001,,,,,v555
555,C00117,,Metabolite,0.5,,,,,v556
560,C05818,,Metabolite,0.001,,,,,v561
563,C00240,,Metabolite,0.001,,,,,v564
565,C00463,,Metabolite,0.001,,,,,v566
569,C16153,,Metabolite,0.001,,,,,v570
570,C01187,,Metabolite,0.001,,,,,v571
572,C15811,,Metabolite,0.001,,,,,v573
574,C04419,,Metabolite,0.001,,,,,v575
579,C07293,,Metabolite,0.001,,,,,v580
580,C00004,,Metabolite,0.083,,,,,v581
581,C00007,,Metabolite,0.001,,,,,v582
582,C01641,,Metabolite,0.001,,,,,v583
583,C00021,,Metabolite,0.001,,,,,v584
584,C06398,,Metabolite,0.001,,,,,v585
585,C03287,,Metabolite,0.001,,,,,v586
587,C01165,,Metabolite,0.001,,,,,v588
590,C00787,,Metabolite,0.001,,,,,v591
591,C00116,,Metabolite,0.001,,,,,v592
592,C00080,,Metabolite,0.0001,,,,,v593
593,C01050,,Metabolite,0.001,,,,,v594
596,C03373,,Metabolite,0.001,,,,,v597
600,C00386,,Metabolite,0.001,,,,,v601
601,C00343,,Metabolite,0.001,,,,,v602
602,C00188,,Metabolite,0.001,,,,,v603
603,C00337,,Metabolite,0.001,,,,,v604
604,C00257,,Metabolite,0.001,,,,,v605
605,C00148,,Metabolite,0.001,,,,,v606
606,C00275,,Metabolite,0.001,,,,,v607
608,C00352,,Metabolite,0.001,,,,,v609
609,C14818,,Metabolite,0.001,,,,,v610
610,C02051,,Metabolite,0.001,,,,,v611
611,C01931,,Metabolite,0.001,,,,,v612
612,C00161,,Metabolite,0.001,,,,,v613
613,C00692,,Metabolite,0.001,,,,,v614
614,C02047,,Metabolite,0.001,,,,,v615
615,C00224,,Metabolite,0.001,,,,,v616
618,C04121,,Metabolite,0.001,,,,,v619
619,C00133,,Metabolite,0.001,,,,,v620
620,C17023,,Metabolite,0.001,,,,,v621
624,C00624,,Metabolite,0.001,,,,,v625
625,C00258,,Metabolite,0.001,,,,,v626
627,C01635,,Metabolite,0.001,,,,,v628
629,C04877,,Metabolite,0.001,,,,,v630
630,C00900,,Metabolite,0.001,,,,,v631
633,C00183,,Metabolite,0.001,,,,,v634
635,C00118,,Metabolite,0.001,,,,,v636
636,C01269,,Metabolite,0.001,,,,,v637
641,C01212,,Metabolite,0.001,,,,,v642
645,C03402,,Metabolite,0.001,,,,,v646
648,C03633,,Metabolite,0.001,,,,,v649
650,C00127,,Metabolite,0.001,,,,,v651
652,C00013,,Metabolite,0.0,,,,,v653
653,C04895,,Metabolite,0.001,,,,,v654
656,C04478,,Metabolite,0.001,,,,,v657
657,C00048,,Metabolite,0.0,,,,,v658
658,C00135,,Metabolite,0.001,,,,,v659
660,C07649,,Metabolite,0.001,,,,,v661
662,C00283,,Metabolite,0.001,,,,,v663
663,C02553,,Metabolite,0.001,,,,,v664
664,C00089,,Metabolite,0.001,,,,,v665
666,C00222,,Metabolite,0.001,,,,,v667
668,C00039,,Metabolite,0.001,,,,,v669
669,C00120,,Metabolite,0.001,,,,,v670
670,C00075,,Metabolite,0.001,,,,,v671
672,C00256,,Metabolite,3.25,,,,,v673
673,C00109,,Metabolite,0.001,,,,,v674
678,C05752,,Metabolite,0.001,,,,,v679
681,C00035,,Metabolite,0.001,,,,,v682
682,C00084,,Metabolite,0.0,,,,,v683
683,C00670,,Metabolite,0.001,,,,,v684
684,C03319,,Metabolite,0.001,,,,,v685
685,C00627,,Metabolite,0.001,,,,,v686
686,C00357,,Metabolite,0.001,,,,,v687
687,C14819,,Metabolite,0.001,,,,,v688
688,C11907,,Metabolite,0.001,,,,,v689
689,C00041,,Metabolite,0.001,,,,,v690
690,C05167,,Metabolite,0.001,,,,,v691
692,C04882,,Metabolite,0.001,,,,,v693
693,C00966,,Metabolite,0.001,,,,,v694
695,C00234,,Metabolite,0.001,,,,,v696
700,C00454,,Metabolite,0.001,,,,,v701
703,C04442,,Metabolite,0.0,,,,,v704
705,C00129,,Metabolite,0.001,,,,,v706
708,C00094,,Metabolite,0.001,,,,,v709
710,C01637,,Metabolite,0.001,,,,,v711
711,C00002,,Metabolite,0.001,,,,,v712
712,C06397,,Metabolite,0.001,,,,,v713
713,C15972,,Metabolite,0.001,,,,,v714
714,C02430,,Metabolite,0.001,,,,,v715
715,C00448,,Metabolite,0.001,,,,,v716
721,C00066,,Metabolite,0.001,,,,,v722
726,C00152,,Metabolite,0.001,,,,,v727
729,C04462,,Metabolite,0.001,,,,,v730
731,C01639,,Metabolite,0.001,,,,,v732
732,C01672,,Metabolite,0.001,,,,,v733
733,C05993,,Metabolite,0.001,,,,,v734
735,C01209,,Metabolite,0.001,,,,,v736
736,C01137,,Metabolite,0.001,,,,,v737
738,C00299,,Metabolite,0.001,,,,,v739
739,C00073,,Metabolite,0.001,,,,,v740
740,C04153,,Metabolite,0.001,,,,,v741
741,C03175,,Metabolite,0.001,,,,,v742
742,C00093,,Metabolite,0.001,,,,,v743
743,C03802,,Metabolite,0.001,,,,,v744
745,C02282,,Metabolite,0.001,,,,,v746
746,C00993,,Metabolite,0.001,,,,,v747
752,C05359,,Metabolite,0.001,,,,,v753
754,C03089,,Metabolite,0.001,,,,,v755
756,C00122,,Metabolite,0.001,,,,,v757
757,C00025,,Metabolite,0.001,,,,,v758
758,C01649,,Metabolite,0.001,,,,,v759
759,C00217,,Metabolite,0.001,,,,,v760
760,Aconitate hydratase,4.2.1.3,Enzyme,0.017715569,,,,Escherichia coli,rel0
761,Dna-directed rna polymerase,2.7.7.6,Enzyme,0.044380239,,,,Escherichia coli,rel0
762,Oxoglutarate dehydrogenase (succinyl-transferring),1.2.4.2,Enzyme,0.01698503,,,,Escherichia coli,rel0
763,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),1.2.1.12,Enzyme,0.014610778,,,,Escherichia coli,rel0
764,Pyruvate dehydrogenase (acetyl-transferring),1.2.4.1,Enzyme,0.011323353,,,,Escherichia coli,rel0
765,Peptidylprolyl isomerase,5.2.1.8,Enzyme,0.02702994,,,,Escherichia coli,rel0
766,Carbamoyl-phosphate synthase (glutamine-hydrolysing),6.3.5.5,Enzyme,0.015889222,,,,Escherichia coli,rel0
767,Dihydrolipoyl dehydrogenase,1.8.1.4,Enzyme,0.011871257,,,,Escherichia coli,rel0
768,Succinate-coa ligase (adp-forming),6.2.1.5,Enzyme,0.019907186,,,,Escherichia coli,rel0
769,Phosphoglycerate kinase,2.7.2.3,Enzyme,0.009131737,,,,Escherichia coli,rel0
770,Alanine-trna ligase,6.1.1.7,Enzyme,0.009679641,,,,Escherichia coli,rel0
771,Phosphopyruvate hydratase,4.2.1.11,Enzyme,0.009314371,,,,Escherichia coli,rel0
772,Transketolase,2.2.1.1,Enzyme,0.01004491,,,,Escherichia coli,rel0
773,Dihydrolipoyllysine-residue acetyltransferase,2.3.1.12,Enzyme,0.009497006,,,,Escherichia coli,rel0
774,Ketol-acid reductoisomerase (nadp+),1.1.1.86,Enzyme,0.009131737,,,,Escherichia coli,rel0
775,Cysteine synthase,2.5.1.47,Enzyme,0.009679641,,,,Escherichia coli,rel0
776,Malate dehydrogenase,1.1.1.37,Enzyme,0.007670659,,,,Escherichia coli,rel0
777,Transaldolase,2.2.1.2,Enzyme,0.008401198,,,,Escherichia coli,rel0
778,Proline-trna ligase,6.1.1.15,Enzyme,0.007670659,,,,Escherichia coli,rel0
780,Isoleucine-trna ligase,6.1.1.5,Enzyme,0.008218563,,,,Escherichia coli,rel0
781,"Pyruvate, water dikinase",2.7.9.2,Enzyme,0.00657485,,,,Escherichia coli,rel0
782,Dihydrolipoyllysine-residue succinyltransferase,2.3.1.61,Enzyme,0.007853293,,,,Escherichia coli,rel0
783,Phosphoenolpyruvate carboxykinase (atp),4.1.1.49,Enzyme,0.007488024,,,,Escherichia coli,rel0
784,Glycine hydroxymethyltransferase,2.1.2.1,Enzyme,0.005661677,,,,Escherichia coli,rel0
785,Fumarate hydratase,4.2.1.2,Enzyme,0.006026946,,,,Escherichia coli,rel0
786,Phenylalanine-trna ligase,6.1.1.20,Enzyme,0.011323353,,,,Escherichia coli,rel0
788,Aspartate ammonia-lyase,4.3.1.1,Enzyme,0.00657485,,,,Escherichia coli,rel0
789,Cysteine desulfurase,2.8.1.7,Enzyme,0.008035928,,,,Escherichia coli,rel0
790,"Phosphogluconate dehydrogenase (nadp+-dependent, decarboxylating)",1.1.1.44,Enzyme,0.005479042,,,,Escherichia coli,rel0
791,Aspartate transaminase,2.6.1.1,Enzyme,0.008218563,,,,Escherichia coli,rel0
792,Serine-trna ligase,6.1.1.11,Enzyme,0.005661677,,,,Escherichia coli,rel0
793,Adenylosuccinate synthase,6.3.4.4,Enzyme,0.007305389,,,,Escherichia coli,rel0
794,Enoyl-[acyl-carrier-protein] reductase (nadh),1.3.1.9,Enzyme,0.007305389,,,,Escherichia coli,rel0
795,Catalase-peroxidase,1.11.1.21,Enzyme,0.004748503,,,,Escherichia coli,rel0
796,Leucine-trna ligase,6.1.1.4,Enzyme,0.005661677,,,,Escherichia coli,rel0
797,Glycerol kinase,2.7.1.30,Enzyme,0.007670659,,,,Escherichia coli,rel0
798,Phosphoenolpyruvate carboxylase,4.1.1.31,Enzyme,0.00310479,,,,Escherichia coli,rel0
799,Glycine-trna ligase,6.1.1.14,Enzyme,0.006392216,,,,Escherichia coli,rel0
800,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate n-succinyltransferase",2.3.1.117,Enzyme,0.005479042,,,,Escherichia coli,rel0
801,Phosphoenolpyruvate-protein phosphotransferase,2.7.3.9,Enzyme,0.006757485,,,,Escherichia coli,rel0
802,Glycine dehydrogenase (aminomethyl-transferring),1.4.4.2,Enzyme,0.004748503,,,,Escherichia coli,rel0
804,Fructose-bisphosphate aldolase,4.1.2.13,Enzyme,0.005661677,,,,Escherichia coli,rel0
805,Adenylate kinase,2.7.4.3,Enzyme,0.00694012,,,,Escherichia coli,rel0
807,Ctp synthase (glutamine hydrolysing),6.3.4.2,Enzyme,0.005113772,,,,Escherichia coli,rel0
808,Glutamine-fructose-6-phosphate transaminase (isomerizing),2.6.1.16,Enzyme,0.005661677,,,,Escherichia coli,rel0
809,Methionine adenosyltransferase,2.5.1.6,Enzyme,0.005844311,,,,Escherichia coli,rel0
810,Glutamate-trna ligase,6.1.1.17,Enzyme,0.005296407,,,,Escherichia coli,rel0
811,Cytosol nonspecific dipeptidase,3.4.13.18,Enzyme,0.005479042,,,,Escherichia coli,rel0
812,Pyruvate kinase,2.7.1.40,Enzyme,0.01041018,,,,Escherichia coli,rel0
813,Phosphate acetyltransferase,2.3.1.8,Enzyme,0.004931138,,,,Escherichia coli,rel0
815,Alpha-galactosidase,3.2.1.22,Enzyme,0.002556886,,,,Escherichia coli,rel0
816,Valine-trna ligase,6.1.1.9,Enzyme,0.003835329,,,,Escherichia coli,rel0
817,Imp dehydrogenase,1.1.1.205,Enzyme,0.004017964,,,,Escherichia coli,rel0
818,Dihydroxy-acid dehydratase,4.2.1.9,Enzyme,0.006757485,,,,Escherichia coli,rel0
819,Threonine-trna ligase,6.1.1.3,Enzyme,0.003835329,,,,Escherichia coli,rel0
822,Tryptophanase,4.1.99.1,Enzyme,0.00347006,,,,Escherichia coli,rel0
823,Asparagine-trna ligase,6.1.1.22,Enzyme,0.003835329,,,,Escherichia coli,rel0
824,Histidine-trna ligase,6.1.1.21,Enzyme,0.004200599,,,,Escherichia coli,rel0
825,Methionine-trna ligase,6.1.1.10,Enzyme,0.003652695,,,,Escherichia coli,rel0
826,Biotin carboxylase,6.3.4.14,Enzyme,0.003652695,,,,Escherichia coli,rel0
827,Tyrosine-trna ligase,6.1.1.1,Enzyme,0.003652695,,,,Escherichia coli,rel0
828,Nad(p)+ transhydrogenase (si-specific),1.6.1.1,Enzyme,0.002922156,,,,Escherichia coli,rel0
829,Beta-ketoacyl-[acyl-carrier-protein] synthase i,2.3.1.41,Enzyme,0.00347006,,,,Escherichia coli,rel0
830,Glutamine synthetase,6.3.1.2,Enzyme,0.002739521,,,,Escherichia coli,rel0
831,Gmp synthase (glutamine-hydrolysing),6.3.5.2,Enzyme,0.002556886,,,,Escherichia coli,rel0
832,"Alpha,alpha-phosphotrehalase",3.2.1.93,Enzyme,0.002374251,,,,Escherichia coli,rel0
834,Lysine-trna ligase,6.1.1.6,Enzyme,0.008583832,,,,Escherichia coli,rel0
835,Nucleoside-diphosphate kinase,2.7.4.6,Enzyme,0.003652695,,,,Escherichia coli,rel0
836,Superoxide dismutase,1.15.1.1,Enzyme,0.005113772,,,,Escherichia coli,rel0
837,Malate dehydrogenase (oxaloacetate-decarboxylating) (nadp+),1.1.1.40,Enzyme,0.005661677,,,,Escherichia coli,rel0
838,Argininosuccinate lyase,4.3.2.1,Enzyme,0.002374251,,,,Escherichia coli,rel0
839,Acetate-coa ligase,6.2.1.1,Enzyme,0.003287425,,,,Escherichia coli,rel0
840,Ribose-phosphate diphosphokinase,2.7.6.1,Enzyme,0.003287425,,,,Escherichia coli,rel0
842,Triose-phosphate isomerase,5.3.1.1,Enzyme,0.002374251,,,,Escherichia coli,rel0
843,Polyribonucleotide nucleotidyltransferase,2.7.7.8,Enzyme,0.001643713,,,,Escherichia coli,rel0
844,Membrane alanyl aminopeptidase,3.4.11.2,Enzyme,0.00347006,,,,Escherichia coli,rel0
