F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,4.054,4.591,5.509,1808356.35,8652117.36,100,100,100,0.296,,0,1754.27,,,,,0,1835.32,0.92,1842200.25,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,4.059,4.501,5.514,1594795.79,8721423.88,100,100,100,0.091,,0,1901.8,,,,,45.56,1458.87,0.95,1751555.75,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,4.054,4.54,5.51,1829347.71,8793063.32,100,100,100,0.296,,0,2088.24,,,,,98.25,2123.24,0.91,1761163,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,4.059,4.493,5.515,2298126.91,10168991.98,100,100,100,0.123,,0,911.65,,,,,46.31,1132.93,0.95,2767990.25,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.515,4.158,4.824,3988926,12766071,100,100,100,1.308,,0,2478,0,2478,,3990145,,99.97,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,4.057,4.483,5.513,3066024.21,14127523.86,100,100,100,0.285,,0,911.16,,,,,26.56,830.69,0.98,2624003.5,,,  ,808.1173,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero3.d ,1,3.584,4.144,5.042,4460781,14274404,100,100,100,1.458,,0,1020,0,1020,,4461173,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero1.d ,1,3.16,4.158,4.906,4450239,14334965,100,100,100,1.746,,0,1351,0,1351,,4451011,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.45,4.149,5.136,4485893,14421280,100,100,100,1.685,,0,363,0,363,,4486044,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-1.d ,1,3.493,4.137,4.913,4526427,14541901,100,100,100,1.419,,0,695,0,695,,4526742,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\t0-3.d ,1,3.654,4.142,4.962,4519837,14658306,100,100,100,1.308,,0,600,0,600,,4520061,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\zero2.d ,1,3.254,4.147,4.834,4491837,14698958,100,100,100,1.58,,0,724,0,724,,4492246,,,MM,,,,,M,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,4.056,4.485,5.512,3684241.58,16157948.45,100,100,100,0.282,,0,720.03,,,,,84.5,785.57,0.95,3178823.75,,,  ,808.1173,,,,,,,,,,,
