F:\2204-2304\RC\221025_malic_enzyme\8hr\00-1.d ,Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI
F:\2204-2304\RC\221025_malic_enzyme\t0-2.d ,1,3.188,4.003,4.67,20397.63,240275.81,100,100,100,0.436,,0,0,,,,,0,48.97,0.86,25895.03,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-2.d ,1,3.183,4.342,5.036,17855.87,317635.79,100,100,100,0.379,,244.05,0,,,,,12.69,22.38,0.74,15543.58,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\tp-1.d ,1,3.29,4.127,5.037,18217.18,338832.65,100,100,100,0.375,,0,1306.43,,,,,0,592.44,0.49,18654.79,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\00-3.d ,1,3.18,4.327,5.033,21397.52,362547.35,100,100,100,0.37,,0,0,,,,,0,0,0.72,20609.51,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-1.d ,1,3.181,4.297,5.034,21926.58,390084.87,100,100,100,0.43,,0,0,,,,,0,1.85,0.84,26334.22,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-2.d ,1,3.185,4.294,5.037,29277.32,401872.16,100,100,100,0.454,,0,0,,,,,0,208.21,0.67,24683.97,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\T0-3.d ,1,3.182,4.319,5.034,23842.46,421635.74,100,100,100,0.37,,0,0,,,,,0,181.5,0.61,23998.81,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-2.d ,1,3.185,4.342,5.038,34814.21,603096.89,100,100,100,0.359,,0,0,,,,,0,442.56,0.54,37903.61,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-1.d ,1,3.276,4.333,5.023,36395.68,612697.7,100,100,100,0.354,,0,497.88,,,,,0,332.85,0.55,37222.98,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\0p-1.d ,1,3.187,4.006,5.039,66773.56,873045.76,100,100,100,0.314,,0,0,,,,,16.47,432.55,0.68,81499.3,,,  ,248.9694,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\0P-3.d ,1,3.185,4.353,5.038,76347.28,947488.11,100,100,100,0.298,,0,0,,,,,24.75,384.17,0.62,80907.05,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-1.d ,1,3.185,4.329,5.038,89445.87,1146476.13,100,100,100,0.214,,0,0,,,,,30.34,127.11,0.87,91800.7,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-2.d ,1,3.184,4.273,5.037,131814.16,1473097.7,100,100,100,0.434,,0,431.35,,,,,17.03,349.05,0.76,125286.01,,,  ,248.9701,,,,,,,,,,,
F:\2204-2304\RC\221025_malic_enzyme\8hr\TP-3.d ,1,3.183,4.266,5.035,164182.35,1696466.61,100,100,100,0.172,,0,0,,,,,34.22,148.85,0.87,154721.17,,,  ,248.9701,,,,,,,,,,,
