id,name,bigg,rhea,ec,kegg,transporter,exchange,no id
R_ACACT1r,Acetyl-CoA C-acetyltransferase,ACACT1r,"['21038', '21037', '21039', '21036']",['2.3.1.9'],['R00238'],FALSE,FALSE,FALSE
R_AMPN,AMP nucleosidase,AMPN,['20132'],['3.2.2.4'],['R00182'],FALSE,FALSE,FALSE
R_ANPRT,Anthranilate phosphoribosyltransferase,ANPRT,"['11771', '11770', '11768', '11769']",['2.4.2.18'],['R01073'],FALSE,FALSE,FALSE
R_ACALD,Acetaldehyde dehydrogenase (acetylating),ACALD,"['23290', '23291', '23289', '23288']",['1.2.1.10'],['R00228'],FALSE,FALSE,FALSE
R_ANS,Anthranilate synthase,ANS,"['21734', '21733', '21735', '21732']",['4.1.3.27'],['R00986'],FALSE,FALSE,FALSE
R_AOXSr,8-amino-7-oxononanoate synthase,AOXSr,"['20713', '20715', '20712', '20714']",['2.3.1.47'],['R03210'],FALSE,FALSE,FALSE
R_ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,ACBIPGT,"['22712', '22715', '22713', '22714']",['2.7.7.62'],['R05222'],FALSE,FALSE,FALSE
R_ACCOAC,Acetyl-CoA carboxylase,ACCOAC,"['11308', '11311', '11310', '11309']",['6.4.1.2'],['R00742'],FALSE,FALSE,FALSE
R_ACCOAL,Acetate-CoA ligase (ADP-forming),ACCOAL,,['6.2.1.13'],,FALSE,FALSE,FALSE
R_2DGLCNRx,2-dehydro-D-gluconate reductase (NADH),2DGLCNRx,"['27912', '27911', '27913', '27910']",,,FALSE,FALSE,FALSE
R_2DGLCNRy,2-dehydro-D-gluconate reductase (NADPH),2DGLCNRy,"['16656', '16655', '16653', '16654']",['1.1.1.215'],['R01739'],FALSE,FALSE,FALSE
R_ACGK,Acetylglutamate kinase,ACGK,"['14632', '14631', '14630', '14629']",['2.7.2.8'],['R02649'],FALSE,FALSE,FALSE
R_ACGS,N-acetylglutamate synthase,ACGS,"['24295', '24292', '24293', '24294']",['2.3.1.1'],['R00259'],FALSE,FALSE,FALSE
R_ACHBS,2-aceto-2-hydroxybutanoate synthase,ACHBS,"['27657', '27655', '27654', '27656']",['2.2.1.6'],['R08648'],FALSE,FALSE,FALSE
R_AP4AH,Ap4A hydrolase,AP4AH,"['24254', '24253', '24255', '24252']",['3.6.1.41'],['R00125'],FALSE,FALSE,FALSE
R_ACKr,Acetate kinase,ACKr,"['11354', '11355', '11353', '11352']","['2.7.2.15', '2.7.2.1']",['R00315'],FALSE,FALSE,FALSE
R_ACLS,Acetolactate synthase,ACLS,"['25252', '25251', '25249', '25250']",['2.2.1.6'],['R00226'],FALSE,FALSE,FALSE
R_AP5AH,Ap5A hydrolase,AP5AH,"['30528', '30530', '30527', '30529']",['3.6.1.61'],['R09880'],FALSE,FALSE,FALSE
R_ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,ACMAMUT,"['28367', '28369', '28368', '28366']",['2.4.1.180'],['R04477'],FALSE,FALSE,FALSE
R_APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,APRAUR,"['17848', '17846', '17847', '17845']",['1.1.1.193'],['R03458'],FALSE,FALSE,FALSE
R_ARAI,L-arabinose isomerase,ARAI,,"['5.3.1.4', '5.3.1.5']",,FALSE,FALSE,FALSE
R_ACNAMt2,N-acetylneuraminate proton symport,ACNAMt2,"['28990', '28989', '28987', '28988']",,,FALSE,FALSE,FALSE
R_3HCINNMH,3-hydroxycinnamate hydroxylase,3HCINNMH,"['27849', '27847', '27846', '27848']",['1.14.13.127'],['R06787'],FALSE,FALSE,FALSE
R_3HPPPNH,3-(3-hydroxy-phenyl)propionate hydroxylase,3HPPPNH,"['24786', '24787', '24788', '24785']",['1.14.13.127'],['R06786'],FALSE,FALSE,FALSE
R_4HTHRS,4-Hydroxy-L-threonine synthase,4HTHRS,"['30659', '30662', '30660', '30661']","['4.2.3.1', '4.2.3']",['R05086'],FALSE,FALSE,FALSE
R_ACNML,N-Acetylneuraminate lyase,ACNML,"['23297', '23298', '23296', '23299']",['4.1.3.3'],['R01811'],FALSE,FALSE,FALSE
R_ACOATA,Acetyl-CoA ACP transacylase,ACOATA,,"['2.3.1.180', '2.3.1.85', '2.3.1.86', '2.3.1.179', '2.3.1.-', '2.3.1.38', '2.3.1.41']",['R01624'],FALSE,FALSE,FALSE
R_ACODA,Acetylornithine deacetylase,ACODA,"['15941', '15942', '15944', '15943']","['3.5.1.16', '3.5.1.14']",['R00669'],FALSE,FALSE,FALSE
R_ACONMT,Trans-aconitate methyltransferase,ACONMT,"['14971', '14970', '14969', '14972']",['2.1.1.144'],['R05763'],FALSE,FALSE,FALSE
R_ACONT,Aconitate hydratase,ACONT,"['10339', '10336', '10337', '10338']",['4.2.1.3'],['R01324'],FALSE,FALSE,FALSE
R_ACOTA,Acetylornithine transaminase,ACOTA,"['18051', '18050', '18052', '18049']",['2.6.1.11'],['R02283'],FALSE,FALSE,FALSE
R_ACPS1,Acyl-carrier protein synthase,ACPS1,,['2.7.8.7'],,FALSE,FALSE,FALSE
R_5DGLCNR,5-dehydro-D-gluconate reductase,5DGLCNR,"['23937', '23939', '23936', '23938']","['1.1.1', '1.1.1.69']",['R01740'],FALSE,FALSE,FALSE
R_A5PISO,Arabinose-5-phosphate isomerase,A5PISO,"['23105', '23107', '23104', '23106']",['5.3.1.13'],['R01530'],FALSE,FALSE,FALSE
R_AACPS1,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),AACPS1,,['6.2.1.20'],,FALSE,FALSE,FALSE
R_AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),AACPS2,,['6.2.1.20'],,FALSE,FALSE,FALSE
R_ACS,Acetyl-CoA synthetase,ACS,"['23179', '23178', '23176', '23177']",['6.2.1.1'],['R00235'],FALSE,FALSE,FALSE
R_ADA,Adenosine deaminase,ADA,"['24411', '24408', '24410', '24409']",['3.5.4.4'],['R01560'],FALSE,FALSE,FALSE
R_ADCL,4-aminobenzoate synthase,ADCL,"['16201', '16203', '16204', '16202']",['4.1.3.38'],['R05553'],FALSE,FALSE,FALSE
R_ADCS,4-amino-4-deoxychorismate synthase,ADCS,"['11672', '11675', '11673', '11674']",['2.6.1.85'],['R01716'],FALSE,FALSE,FALSE
R_AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),AACPS3,,['6.2.1.20'],,FALSE,FALSE,FALSE
R_ADD,Adenine deaminase,ADD,"['23690', '23689', '23688', '23691']",['3.5.4.2'],['R01244'],FALSE,FALSE,FALSE
R_ARGDC,Arginine decarboxylase,ARGDC,"['17641', '17642', '17644', '17643']",['4.1.1.19'],['R00566'],FALSE,FALSE,FALSE
R_AADDGT,"DTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase",AADDGT,,['2.4.1.325'],,FALSE,FALSE,FALSE
R_ARGORNt7,Arginine/ornithine antiporter,ARGORNt7,"['34994', '34993', '34991', '34992']",,,FALSE,FALSE,FALSE
R_ADK1,Adenylate kinase,ADK1,"['12975', '12973', '12976', '12974']",['2.7.4.3'],['R00127'],FALSE,FALSE,FALSE
R_ADK3,Adentylate kinase (GTP),ADK3,"['29865', '29863', '29866', '29864']","['2.7.4.10', '2.7.4.4']",,FALSE,FALSE,FALSE
R_ADK4,Adentylate kinase (ITP),ADK4,"['29868', '29870', '29869', '29867']",,,FALSE,FALSE,FALSE
R_AB6PGH,Arbutin 6-phosphate glucohydrolase,AB6PGH,,['3.2.1.86'],,FALSE,FALSE,FALSE
R_ADMDC,Adenosylmethionine decarboxylase,ADMDC,"['15982', '15983', '15984', '15981']",['4.1.1.50'],['R00178'],FALSE,FALSE,FALSE
R_ARGSL,Argininosuccinate lyase,ARGSL,"['24021', '24020', '24022', '24023']",['4.3.2.1'],['R01086'],FALSE,FALSE,FALSE
R_ADNCYC,Adenylate cyclase,ADNCYC,"['15389', '15390', '15391', '15392']",['4.6.1.1'],['R00089'],FALSE,FALSE,FALSE
R_ARGSS,Argininosuccinate synthase,ARGSS,"['10933', '10935', '10934', '10932']",['6.3.4.5'],['R01954'],FALSE,FALSE,FALSE
R_ADNK1,Adenosine kinase,ADNK1,"['20827', '20824', '20826', '20825']","['2.7.1.74', '2.7.1.20']",['R00185'],FALSE,FALSE,FALSE
R_ADOCBIK,Adenosyl cobinamide kinase,ADOCBIK,,['2.7.1.156'],['R05221'],FALSE,FALSE,FALSE
R_ASAD,Aspartate-semialdehyde dehydrogenase,ASAD,"['24285', '24284', '24286', '24287']",['1.2.1.11'],['R02291'],FALSE,FALSE,FALSE
R_ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,ADOCBLS,,['2.7.8.26'],['R05223'],FALSE,FALSE,FALSE
R_ADPT,Adenine phosphoribosyltransferase,ADPT,"['16610', '16612', '16611', '16609']","['2.4.2.8', '2.4.2.7']",['R00190'],FALSE,FALSE,FALSE
R_ASNN,L-asparaginase,ASNN,"['21017', '21019', '21016', '21018']","['3.5.1.38', '3.5.5.4', '3.5.1.1']",['R00485'],FALSE,FALSE,FALSE
R_ADSK,Adenylyl-sulfate kinase,ADSK,"['24155', '24152', '24154', '24153']",['2.7.1.25'],['R00509'],FALSE,FALSE,FALSE
R_ADSL1r,Adenylsuccinate lyase,ADSL1r,"['16854', '16853', '16856', '16855']",['4.3.2.2'],['R01083'],FALSE,FALSE,FALSE
R_ADSL2r,Adenylosuccinate lyase,ADSL2r,"['23920', '23923', '23922', '23921']",['4.3.2.2'],['R04559'],FALSE,FALSE,FALSE
R_ADSS,Adenylosuccinate synthase,ADSS,"['15755', '15756', '15753', '15754']",['6.3.4.4'],['R01135'],FALSE,FALSE,FALSE
R_AGDC,N-acetylglucosamine-6-phosphate deacetylase,AGDC,"['22936', '22938', '22937', '22939']",['3.5.1.25'],['R02059'],FALSE,FALSE,FALSE
R_AGMHE,ADP-D-glycero-D-manno-heptose epimerase,AGMHE,"['17579', '17578', '17577', '17580']",['5.1.3.20'],['R05176'],FALSE,FALSE,FALSE
R_ASNS1,Asparagine synthase (glutamine-hydrolysing),ASNS1,"['12231', '12229', '12230', '12228']",['6.3.5.4'],['R00578'],FALSE,FALSE,FALSE
R_AGMT,Agmatinase,AGMT,"['13929', '13931', '13930', '13932']",['3.5.3.11'],['R01157'],FALSE,FALSE,FALSE
R_AGPR,N-acetyl-g-glutamyl-phosphate reductase,AGPR,"['21590', '21591', '21588', '21589']",['1.2.1.38'],['R03443'],FALSE,FALSE,FALSE
R_ASNS2,Asparagine synthetase,ASNS2,"['11372', '11375', '11374', '11373']","['6.3.1.1', '6.3.5.4']",['R00483'],FALSE,FALSE,FALSE
R_AHCi,Adenosylhomocysteinase,AHCi,"['21708', '21710', '21711', '21709']",['3.3.1.1'],['R00192'],FALSE,FALSE,FALSE
R_AHCYSNS,S-adenosylhomocysteine nucleosidase,AHCYSNS,"['17806', '17808', '17805', '17807']",['3.2.2.9'],['R00194'],FALSE,FALSE,FALSE
R_CAT,Catalase,CAT,"['20309', '20310', '20311', '20312']","['1.11.1.21', '1.11.1.6']",['R00009'],FALSE,FALSE,FALSE
R_ASP1DC,Aspartate 1-decarboxylase,ASP1DC,"['19500', '19499', '19498', '19497']","['4.1.1.15', '4.1.1.11']",['R00489'],FALSE,FALSE,FALSE
R_CBLAT_DELETE,Cob(I)alamin adenosyltransferase,CBLAT_DELETE,,['2.5.1.17'],,FALSE,FALSE,FALSE
R_AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,AICART,"['22192', '22193', '22195', '22194']",['2.1.2.3'],['R04560'],FALSE,FALSE,FALSE
R_AIRC2,Phosphoribosylaminoimidazole carboxylase,AIRC2,"['19318', '19320', '19319', '19317']",['6.3.4.18'],,FALSE,FALSE,FALSE
R_AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),AIRC3,"['13194', '13196', '13195', '13193']",['5.4.99.18'],['R07405'],FALSE,FALSE,FALSE
R_AKGDH,2-Oxogluterate dehydrogenase,AKGDH,"['27789', '27788', '27786', '27787']","['1.2.1.52', '2.3.1.61', '1.8.1.4', '1.2.4.2']",['R08549'],FALSE,FALSE,FALSE
R_ASPCT,Aspartate carbamoyltransferase,ASPCT,"['20015', '20014', '20016', '20013']",['2.1.3.2'],['R01397'],FALSE,FALSE,FALSE
R_ALAALAr,D-alanine-D-alanine ligase (reversible),ALAALAr,"['11226', '11224', '11225', '11227']",['6.3.2.4'],['R01150'],FALSE,FALSE,FALSE
R_ALAR_copy1,Alanine racemase,ALAR,"['20252', '20251', '20249', '20250']",['5.1.1.1'],['R00401'],FALSE,FALSE,FALSE
R_ALAR_copy2,Alanine racemase,ALAR,"['20252', '20251', '20249', '20250']",['5.1.1.1'],['R00401'],FALSE,FALSE,FALSE
R_ALATA_D2,D-alanine transaminase,ALATA_D2,"['28565', '28562', '28564', '28563']",,['R01147'],FALSE,FALSE,FALSE
R_CBMKr,Carbamate kinase,CBMKr,"['10154', '10152', '10155', '10153']",['2.7.2.2'],['R00150'],FALSE,FALSE,FALSE
R_CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),CBPS,"['18635', '18633', '18636', '18634']",['6.3.5.5'],['R00575'],FALSE,FALSE,FALSE
R_CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,CDPMEK,"['18437', '18440', '18438', '18439']",['2.7.1.148'],['R05634'],FALSE,FALSE,FALSE
R_ALATA_L,L-alanine transaminase,ALATA_L,"['19453', '19455', '19456', '19454']",['2.6.1.2'],['R00258'],FALSE,FALSE,FALSE
R_ASPK,Aspartate kinase,ASPK,"['23779', '23777', '23776', '23778']",['2.7.2.4'],['R00480'],FALSE,FALSE,FALSE
R_CHORM,Chorismate mutase,CHORM,"['13897', '13899', '13898', '13900']",['5.4.99.5'],['R01715'],FALSE,FALSE,FALSE
R_ASPO3_1,L-aspartate oxidase,ASPO3_1,"['28685', '28686', '28683', '28684']",,,FALSE,FALSE,FALSE
R_CHORS,Chorismate synthase,CHORS,"['21020', '21023', '21022', '21021']",['4.2.3.5'],['R01714'],FALSE,FALSE,FALSE
R_CHRPL,Chorismate pyruvate lyase,CHRPL,"['16508', '16505', '16507', '16506']",['4.1.3.40'],['R01302'],FALSE,FALSE,FALSE
R_ASPO4_1,L-aspartate oxidase,ASPO4_1,"['29192', '29193', '29191', '29194']",,,FALSE,FALSE,FALSE
R_CINNDO,Cinnamate dioxygenase,CINNDO,"['25060', '25058', '25059', '25061']",['1.14.12.19'],['R06783'],FALSE,FALSE,FALSE
R_CITL,Citrate lyase,CITL,"['10763', '10762', '10761', '10760']",['4.1.3.6'],['R00362'],FALSE,FALSE,FALSE
R_ASPO5_1,L-aspartate oxidase,ASPO5_1,"['30043', '30045', '30044', '30046']",['1.5.99'],,FALSE,FALSE,FALSE
R_DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",DB4PS,,['4.1.99.12'],['R07281'],FALSE,FALSE,FALSE
R_ASPO6_1,L-aspartate oxidase,ASPO6_1,"['25879', '25878', '25877', '25876']",['1.4.3.16'],['R00481'],FALSE,FALSE,FALSE
R_CMPN,CMP nucleosidase,CMPN,,['3.2.2.10'],,FALSE,FALSE,FALSE
R_DBTS,Dethiobiotin synthase,DBTS,"['15807', '15808', '15806', '15805']",['6.3.3.3'],['R03182'],FALSE,FALSE,FALSE
R_ASPT,L-aspartase,ASPT,"['16603', '16604', '16602', '16601']",['4.3.1.1'],['R00490'],FALSE,FALSE,FALSE
R_DCTPD,DCTP deaminase,DCTPD,"['22683', '22681', '22682', '22680']",['3.5.4.13'],['R02325'],FALSE,FALSE,FALSE
R_CPPPGO,Coproporphyrinogen oxidase (O2 required),CPPPGO,"['18257', '18258', '18259', '18260']",['1.3.3.3'],['R03220'],FALSE,FALSE,FALSE
R_ASPTA,Aspartate transaminase,ASPTA,"['21824', '21827', '21825', '21826']",['2.6.1.1'],['R00355'],FALSE,FALSE,FALSE
R_CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,CRNBTCT,"['28420', '28418', '28421', '28419']",['2.8.3.21'],['R10644'],FALSE,FALSE,FALSE
R_CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,CRNCBCT,"['28527', '28529', '28528', '28526']",['2.8.3.21'],['R10643'],FALSE,FALSE,FALSE
R_DCYTD,Deoxycytidine deaminase,DCYTD,"['13436', '13434', '13433', '13435']",['3.5.4.5'],['R02485'],FALSE,FALSE,FALSE
R_DDGALK,2-dehydro-3-deoxygalactonokinase,DDGALK,"['16527', '16525', '16526', '16528']","['2.7.1.58', '2.7.1.178']",['R03387'],FALSE,FALSE,FALSE
R_DDGLK,2-dehydro-3-deoxygluconokinase,DDGLK,"['14799', '14797', '14798', '14800']","['2.7.1.45', '2.7.1.178']",['R01541'],FALSE,FALSE,FALSE
R_CRNCDH,Carnityl-CoA dehydratse,CRNCDH,"['28339', '28341', '28340', '28338']",['4.2.1.149'],['R10675'],FALSE,FALSE,FALSE
R_CRNt7,Carnitine/butyrobetaine antiporter,CRNt7,"['29427', '29430', '29429', '29428']",,,FALSE,FALSE,FALSE
R_CS,Citrate synthase,CS,"['16847', '16846', '16845', '16848']","['2.3.3.16', '2.3.3.1', '2.3.3.3']",['R00351'],FALSE,FALSE,FALSE
R_CSND,Cytosine deaminase,CSND,"['20605', '20606', '20607', '20608']",['3.5.4.1'],['R00974'],FALSE,FALSE,FALSE
R_DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,DDPA,"['14718', '14719', '14717', '14720']",['2.5.1.54'],['R01826'],FALSE,FALSE,FALSE
R_DDPGALA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,DDPGALA,"['24464', '24466', '24465', '24467']","['4.1.2.21', '4.1.2.55']",['R01064'],FALSE,FALSE,FALSE
R_DGK1,Deoxyguanylate kinase (dGMP:ATP),DGK1,"['12697', '12699', '12698', '12700']","['2.7.4.13', '2.7.4.12', '2.7.4.8']",['R02090'],FALSE,FALSE,FALSE
R_DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",DHAD1,"['24810', '24811', '24809', '24812']",['4.2.1.9'],['R04441'],FALSE,FALSE,FALSE
R_DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",DHAD2,"['27694', '27696', '27697', '27695']",['4.2.1.9'],['R05070'],FALSE,FALSE,FALSE
R_CTPS2,CTP synthase (glutamine),CTPS2,"['26427', '26429', '26426', '26428']",['6.3.4.2'],['R00573'],FALSE,FALSE,FALSE
R_CYANST,Cyanide sulfurtransferase,CYANST,"['16883', '16884', '16882', '16881']",['2.8.1.1'],['R01931'],FALSE,FALSE,FALSE
R_CYNTAH,Cyanate aminohydrolase,CYNTAH,"['11123', '11122', '11120', '11121']",['4.2.1.104'],['R10079'],FALSE,FALSE,FALSE
R_DHAPT,Dihydroxyacetone phosphotransferase,DHAPT,"['18383', '18382', '18381', '18384']",['2.7.1.121'],['R01012'],FALSE,FALSE,FALSE
R_CYSDS,Cysteine Desulfhydrase,CYSDS,"['24932', '24931', '24933', '24934']","['4.4.1.28', '4.4.1.8', '4.4.1.1']",['R00782'],FALSE,FALSE,FALSE
R_DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",DHBD,"['23826', '23827', '23825', '23824']",['1.3.1.28'],['R01505'],FALSE,FALSE,FALSE
R_DHBSr,"2,3-dihydroxybenzoate adenylate synthase",DHBSr,"['20231', '20229', '20230', '20232']",['2.7.7.58'],['R01504'],FALSE,FALSE,FALSE
R_CYSS,Cysteine synthase,CYSS,"['14829', '14831', '14830', '14832']","['2.5.1.47', '2.5.1.65']",['R00897'],FALSE,FALSE,FALSE
R_CYSTL,Cystathionine b-lyase,CYSTL,"['13967', '13965', '13968', '13966']",['4.4.1.8'],['R01286'],FALSE,FALSE,FALSE
R_DHCIND,"2,3-dihydroxycinnamate dehydrogenase",DHCIND,"['25068', '25067', '25066', '25069']",['1.3.1.87'],['R06785'],FALSE,FALSE,FALSE
R_DHCINDO_1,"2,3-dihydroxycinnamate 1,2-dioxygenase",DHCINDO_1,,['1.13.11.16'],['R06788'],FALSE,FALSE,FALSE
R_DHDPRy,Dihydrodipicolinate reductase (NADPH),DHDPRy,,['1.3.1.26'],,FALSE,FALSE,FALSE
R_AST,Arginine succinyltransferase,AST,"['15185', '15187', '15186', '15188']",['2.3.1.109'],['R00832'],FALSE,FALSE,FALSE
R_CYTD,Cytidine deaminase,CYTD,"['16069', '16070', '16072', '16071']",['3.5.4.5'],['R01878'],FALSE,FALSE,FALSE
R_CYTDK2,Cytidine kinase (GTP),CYTDK2,"['28165', '28164', '28162', '28163']","['2.7.1.48', '2.7.1.213']",['R00517'],FALSE,FALSE,FALSE
R_DHDPS,Dihydrodipicolinate synthase,DHDPS,"['14846', '14848', '14847', '14845']",,,FALSE,FALSE,FALSE
R_DHFR,Dihydrofolate reductase,DHFR,"['15010', '15009', '15012', '15011']",['1.5.1.3'],['R00939'],FALSE,FALSE,FALSE
R_DHFS_1,Dihydrofolate synthase,DHFS_1,"['23585', '23587', '23584', '23586']","['6.3.2.12', '6.3.2.17']",['R02237'],FALSE,FALSE,FALSE
R_ATPM,ATP maintenance requirement,ATPM,"['13066', '13065', '13068', '13067']","['3.6.1.5', '3.6.3.34', '3.6.3.20', '3.6.3.53', '3.6.3.8', '3.6.3.32', '3.6.4.12', '3.6.3.48', '3.6.3.40', '3.6.3.9', '3.6.3.23', '3.6.3.22', '3.6.3.54', '3.6.3.1', '3.6.1.8', '3.6.3.29', '3.6.3.17', '3.6.3.50', '3.6.3.39', '3.6.3.19', '3.6.3.4', '3.6.3.35', '3.6.3.16', '3.6.4.4', '3.6.3.37', '3.6.4.8', '3.6.3.31', '3.6.3.6', '3.6.4.5', '3.6.3.52', '3.6.3.2', '3.6.3.14', '3.6.3.51', '3.6.3.25', '3.6.3.38', '3.6.3.33', '3.6.3.43', '3.6.4.10', '3.6.4.13', '3.6.3.3', '3.6.3.10', '3.6.3.24', '3.6.3.44', '3.6.3.15', '3.6.3.5', '3.6.1.3', '3.6.1.15', '3.6.4.2', '3.6.4.3', '3.6.3.42', '3.6.3.11', '3.6.3.28', '3.6.3.30', '3.6.4.1', '3.6.4.11', '3.6.3.47', '3.6.4.6', '3.6.3.36', '3.6.3.21', '3.6.3.12', '3.6.3.18', '3.6.3.26', '3.6.3.27', '3.6.3.7', '3.6.4.9', '3.6.4.7', '3.6.3.46', '3.6.3.41', '3.6.3.49']",['R00086'],FALSE,FALSE,FALSE
R_DHNPA2r,Dihydroneopterin aldolase reversible,DHNPA2r,"['10541', '10540', '10542', '10543']",['4.1.2.25'],['R03504'],FALSE,FALSE,FALSE
R_DHORD2,Dihydoorotic acid dehydrogenase (quinone8),DHORD2,"['28689', '28688', '28690', '28687']",,,FALSE,FALSE,FALSE
R_CYTK1,Cytidylate kinase (CMP),CYTK1,"['11603', '11601', '11602', '11600']","['2.7.4.25', '2.7.4.14']",['R00512'],FALSE,FALSE,FALSE
R_CYTK2,Cytidylate kinase (dCMP),CYTK2,"['25096', '25094', '25097', '25095']","['2.7.4.13', '2.7.4.14', '2.7.4.25']",['R01665'],FALSE,FALSE,FALSE
R_DHORD5,Dihydroorotic acid (menaquinone-8),DHORD5,"['29200', '29201', '29199', '29202']",,,FALSE,FALSE,FALSE
R_DHORTS,Dihydroorotase,DHORTS,"['24296', '24298', '24299', '24297']",['3.5.2.3'],['R01993'],FALSE,FALSE,FALSE
R_ATPPRT,ATP phosphoribosyltransferase,ATPPRT,"['18476', '18475', '18473', '18474']",['2.4.2.17'],['R01071'],FALSE,FALSE,FALSE
R_DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",DHPPD,"['25065', '25062', '25063', '25064']",['1.3.1.87'],,FALSE,FALSE,FALSE
R_DAAD,D-Amino acid dehydrogenase,DAAD,,['1.4.99.1'],,FALSE,FALSE,FALSE
R_ATPS4r,ATP synthase (four protons for one ATP),ATPS4r,,['3.6.3.14'],,FALSE,FALSE,FALSE
R_DADA,Deoxyadenosine deaminase,DADA,"['28193', '28190', '28192', '28191']",['3.5.4.4'],['R02556'],FALSE,FALSE,FALSE
R_DADK,Deoxyadenylate kinase,DADK,"['23100', '23103', '23102', '23101']","['2.7.4.11', '2.7.4.13', '2.7.4.3']",['R01547'],FALSE,FALSE,FALSE
R_DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),DHPPDA2,"['21871', '21869', '21868', '21870']",['3.5.4.26'],['R03459'],FALSE,FALSE,FALSE
R_DHPS2_1,Dihydropteroate synthase,DHPS2_1,"['19950', '19949', '19952', '19951']",['2.5.1.15'],['R03067'],FALSE,FALSE,FALSE
R_BETALDHx,Betaine-aldehyde dehydrogenase,BETALDHx,"['15305', '15306', '15308', '15307']",['1.2.1.8'],['R02565'],FALSE,FALSE,FALSE
R_DHQTi,"3-dehydroquinate dehydratase, irreversible",DHQTi,"['21099', '21097', '21096', '21098']",['4.2.1.10'],['R03084'],FALSE,FALSE,FALSE
