id,name,bigg,rhea,ec,kegg,transporter,exchange,no id
R_ATPM,ATP maintenance requirement,ATPM,"['13066', '13065', '13068', '13067']","['3.6.1.5', '3.6.3.34', '3.6.3.20', '3.6.3.53', '3.6.3.8', '3.6.3.32', '3.6.4.12', '3.6.3.48', '3.6.3.40', '3.6.3.9', '3.6.3.23', '3.6.3.22', '3.6.3.54', '3.6.3.1', '3.6.1.8', '3.6.3.29', '3.6.3.17', '3.6.3.50', '3.6.3.39', '3.6.3.19', '3.6.3.4', '3.6.3.35', '3.6.3.16', '3.6.4.4', '3.6.3.37', '3.6.4.8', '3.6.3.31', '3.6.3.6', '3.6.4.5', '3.6.3.52', '3.6.3.2', '3.6.3.14', '3.6.3.51', '3.6.3.25', '3.6.3.38', '3.6.3.33', '3.6.3.43', '3.6.4.10', '3.6.4.13', '3.6.3.3', '3.6.3.10', '3.6.3.24', '3.6.3.44', '3.6.3.15', '3.6.3.5', '3.6.1.3', '3.6.1.15', '3.6.4.2', '3.6.4.3', '3.6.3.42', '3.6.3.11', '3.6.3.28', '3.6.3.30', '3.6.4.1', '3.6.4.11', '3.6.3.47', '3.6.4.6', '3.6.3.36', '3.6.3.21', '3.6.3.12', '3.6.3.18', '3.6.3.26', '3.6.3.27', '3.6.3.7', '3.6.4.9', '3.6.4.7', '3.6.3.46', '3.6.3.41', '3.6.3.49']",['R00086'],FALSE,FALSE,FALSE
R_PPCK,Phosphoenolpyruvate carboxykinase,PPCK,"['18620', '18618', '18617', '18619']",['4.1.1.49'],['R00341'],FALSE,FALSE,FALSE
R_PPS,Phosphoenolpyruvate synthase,PPS,"['11364', '11367', '11366', '11365']",['2.7.9.2'],['R00199'],FALSE,FALSE,FALSE
R_ADK1,Adenylate kinase,ADK1,"['12975', '12973', '12976', '12974']",['2.7.4.3'],['R00127'],FALSE,FALSE,FALSE
R_AKGDH,2-Oxogluterate dehydrogenase,AKGDH,"['27789', '27788', '27786', '27787']","['1.2.1.52', '2.3.1.61', '1.8.1.4', '1.2.4.2']",['R08549'],FALSE,FALSE,FALSE
R_ATPS4r,ATP synthase (four protons for one ATP),ATPS4r,,['3.6.3.14'],,FALSE,FALSE,FALSE
R_PTAr,Phosphotransacetylase,PTAr,"['19521', '19523', '19522', '19524']",['2.3.1.8'],['R00230'],FALSE,FALSE,FALSE
R_PYK,Pyruvate kinase,PYK,"['18160', '18159', '18158', '18157']",['2.7.1.40'],['R00200'],FALSE,FALSE,FALSE
R_RPE,Ribulose 5-phosphate 3-epimerase,RPE,"['13677', '13680', '13678', '13679']",['5.1.3.1'],['R01529'],FALSE,FALSE,FALSE
R_CS,Citrate synthase,CS,"['16847', '16846', '16845', '16848']","['2.3.3.16', '2.3.3.1', '2.3.3.3']",['R00351'],FALSE,FALSE,FALSE
R_RPI,Ribose-5-phosphate isomerase,RPI,,['5.3.1.6'],,FALSE,FALSE,FALSE
R_ENO,Enolase,ENO,"['10166', '10165', '10164', '10167']",['4.2.1.11'],['R00658'],FALSE,FALSE,FALSE
R_SUCDi,Succinate dehydrogenase (irreversible),SUCDi,"['29190', '29189', '29187', '29188']",,,FALSE,FALSE,FALSE
R_SUCOAS,Succinyl-CoA synthetase (ADP-forming),SUCOAS,"['17664', '17663', '17662', '17661']",['6.2.1.5'],['R00405'],FALSE,FALSE,FALSE
R_TALA,Transaldolase,TALA,"['17056', '17055', '17054', '17053']",['2.2.1.2'],['R01827'],FALSE,FALSE,FALSE
R_THD2,NAD(P) transhydrogenase,THD2,,['1.6.1.1'],,FALSE,FALSE,FALSE
R_TKT1,Transketolase,TKT1,,['2.2.1.1'],,FALSE,FALSE,FALSE
R_TKT2,Transketolase,TKT2,"['27627', '27628', '27626', '27629']",['2.2.1.1'],['R01830'],FALSE,FALSE,FALSE
R_TPI,Triose-phosphate isomerase,TPI,"['18587', '18588', '18586', '18585']",['5.3.1.1'],['R01015'],FALSE,FALSE,FALSE
R_FBA,Fructose-bisphosphate aldolase,FBA,"['14729', '14732', '14731', '14730']",['4.1.2.13'],['R01068'],FALSE,FALSE,FALSE
R_FBP,Fructose-bisphosphatase,FBP,"['11067', '11065', '11066', '11064']",['3.1.3.11'],,FALSE,FALSE,FALSE
R_FRD7,Fumarate reductase,FRD7,"['29190', '29189', '29187', '29188']",,,FALSE,FALSE,FALSE
R_FUM,Fumarase,FUM,"['12463', '12461', '12462', '12460']",['4.2.1.2'],['R01082'],FALSE,FALSE,FALSE
R_G6PDH2r,Glucose 6-phosphate dehydrogenase,G6PDH2r,"['15842', '15843', '15841', '15844']","['1.1.1.363', '1.1.1.49']",['R00835'],FALSE,FALSE,FALSE
R_GAPD,Glyceraldehyde-3-phosphate dehydrogenase,GAPD,"['10303', '10300', '10302', '10301']","['1.2.1.12', '1.2.1.59']",['R01061'],FALSE,FALSE,FALSE
R_GLNS,Glutamine synthetase,GLNS,"['16172', '16171', '16169', '16170']",['6.3.1.2'],['R00253'],FALSE,FALSE,FALSE
R_GLUDy,Glutamate dehydrogenase (NADP),GLUDy,"['11613', '11614', '11612', '11615']","['1.4.1.13', '1.4.1.3', '1.4.1.4']",['R00248'],FALSE,FALSE,FALSE
R_GLUN,Glutaminase,GLUN,"['15892', '15889', '15891', '15890']","['6.3.5.2', '4.3.3.6', '6.3.5.5', '1.4.7.1', '6.3.5.4', '3.5.1.2', '6.3.4.2', '1.4.1.13', '3.5.1.38']",['R00256'],FALSE,FALSE,FALSE
R_GLUSy,Glutamate synthase (NADPH),GLUSy,"['15503', '15501', '15504', '15502']",['1.4.1.13'],['R00114'],FALSE,FALSE,FALSE
R_GND,Phosphogluconate dehydrogenase,GND,"['10116', '10117', '10118', '10119']","['1.1.1.44', '1.1.1.351']",['R01528'],FALSE,FALSE,FALSE
R_ICDHyr,Isocitrate dehydrogenase (NADP),ICDHyr,"['19629', '19630', '19631', '19632']",['1.1.1.42'],['R00267'],FALSE,FALSE,FALSE
R_ICL,Isocitrate lyase,ICL,"['13248', '13245', '13246', '13247']",['4.1.3.1'],['R00479'],FALSE,FALSE,FALSE
R_LDH_D,D-lactate dehydrogenase,LDH_D,"['16370', '16371', '16372', '16369']",['1.1.1.28'],['R00704'],FALSE,FALSE,FALSE
R_MALS,Malate synthase,MALS,"['18181', '18182', '18184', '18183']",['2.3.3.9'],['R00472'],FALSE,FALSE,FALSE
R_MDH,Malate dehydrogenase,MDH,"['21432', '21433', '21434', '21435']","['1.1.1.37', '1.1.1.299']",['R00342'],FALSE,FALSE,FALSE
R_ME1,Malic enzyme (NAD),ME1,"['12655', '12654', '12653', '12656']","['1.1.1.38', '1.1.1.39']",['R00214'],FALSE,FALSE,FALSE
R_ME2,Malic enzyme (NADP),ME2,"['18255', '18256', '18254', '18253']",['1.1.1.40'],['R00216'],FALSE,FALSE,FALSE
R_NADH16,NADH dehydrogenase (ubiquinone-8 & 3 protons),NADH16,,['1.6.5.3'],,FALSE,FALSE,FALSE
R_NADTRHD,NAD transhydrogenase,NADTRHD,"['11692', '11695', '11694', '11693']","['1.6.1.3', '1.6.1.2', '1.6.1.1']",['R00112'],FALSE,FALSE,FALSE
R_PDH,Pyruvate dehydrogenase,PDH,"['28043', '28045', '28044', '28042']","['1.2.1', '1.8.1.4', '1.2.1.51', '1.2.4.1', '2.3.1.12']",['R00209'],FALSE,FALSE,FALSE
R_BIOMASS_Ecoli_core_w_GAM,Biomass Objective Function with GAM,BIOMASS_Ecoli_core_w_GAM,,,,FALSE,FALSE,TRUE
R_CYTBD,Cytochrome oxidase bd (ubiquinol-8: 2 protons),CYTBD,,,,FALSE,FALSE,TRUE
R_EX_ac_e,Acetate exchange,EX_ac_e,"['27817', '27814', '27816', '27815']",,,FALSE,TRUE,FALSE
R_EX_etoh_e,Ethanol exchange,EX_etoh_e,"['35269', '35267', '35270', '35268']",,,FALSE,TRUE,FALSE
R_EX_for_e,Formate exchange,EX_for_e,"['29681', '29680', '29682', '29679']",,,FALSE,TRUE,FALSE
R_EX_h_e,H+ exchange,EX_h_e,"['34980', '34981', '34982', '34979']",,,FALSE,TRUE,FALSE
R_EX_h2o_e,H2O exchange,EX_h2o_e,"['29668', '29669', '29667', '29670']",,,FALSE,TRUE,FALSE
R_EX_nh4_e,Ammonia exchange,EX_nh4_e,"['28749', '28748', '28750', '28747']",,,FALSE,TRUE,FALSE
R_EX_pi_e,Phosphate exchange,EX_pi_e,"['32824', '32826', '32825', '32823']",,,FALSE,TRUE,FALSE
R_EX_acald_e,Acetaldehyde exchange,EX_acald_e,,,,FALSE,TRUE,TRUE
R_EX_akg_e,2-Oxoglutarate exchange,EX_akg_e,,,,FALSE,TRUE,TRUE
R_EX_co2_e,CO2 exchange,EX_co2_e,,,,FALSE,TRUE,TRUE
R_EX_fru_e,D-Fructose exchange,EX_fru_e,,,,FALSE,TRUE,TRUE
R_EX_fum_e,Fumarate exchange,EX_fum_e,,,,FALSE,TRUE,TRUE
R_EX_glc__D_e,D-Glucose exchange,EX_glc__D_e,,,,FALSE,TRUE,TRUE
R_EX_gln__L_e,L-Glutamine exchange,EX_gln__L_e,,,,FALSE,TRUE,TRUE
R_EX_glu__L_e,L-Glutamate exchange,EX_glu__L_e,,,,FALSE,TRUE,TRUE
R_EX_lac__D_e,D-lactate exchange,EX_lac__D_e,,,,FALSE,TRUE,TRUE
R_EX_mal__L_e,L-Malate exchange,EX_mal__L_e,,,,FALSE,TRUE,TRUE
R_EX_o2_e,O2 exchange,EX_o2_e,,,,FALSE,TRUE,TRUE
R_EX_pyr_e,Pyruvate exchange,EX_pyr_e,,,,FALSE,TRUE,TRUE
R_EX_succ_e,Succinate exchange,EX_succ_e,,,,FALSE,TRUE,TRUE
R_AKGt2r,2 oxoglutarate reversible transport via symport,AKGt2r,"['29011', '29013', '29012', '29014']",,,TRUE,FALSE,FALSE
R_PIt2r,Phosphate reversible transport via symport,PIt2r,"['29939', '29941', '29940', '29942']",,,TRUE,FALSE,FALSE
R_SUCCt2_2,Succinate transport via proton symport (2 H),SUCCt2_2,"['29305', '29306', '29304', '29303']",,,TRUE,FALSE,FALSE
R_FORt,Formate transport via diffusion,FORt,"['29681', '29680', '29682', '29679']",,,TRUE,FALSE,FALSE
R_FUMt2_2,Fumarate transport via proton symport (2 H),FUMt2_2,"['29332', '29334', '29333', '29331']",,,TRUE,FALSE,FALSE
R_GLNabc,L-glutamine transport via ABC system,GLNabc,"['29895#1', '29897#1', '29898#1', '29896#1']",['3.6.3.21'],,TRUE,FALSE,FALSE
R_H2Ot,H2O transport via diffusion,H2Ot,"['29668', '29669', '29667', '29670']",,,TRUE,FALSE,FALSE
R_MALt2_2,Malate transport via proton symport (2 H),MALt2_2,"['29341', '29340', '29342', '29339']",,,TRUE,FALSE,FALSE
R_NH4t,Ammonia reversible transport,NH4t,"['28749', '28748', '28750', '28747']",,,TRUE,FALSE,FALSE
R_ACALDt,Acetaldehyde reversible transport,ACALDt,,,,TRUE,FALSE,TRUE
R_ACt2r,Acetate reversible transport via proton symport,ACt2r,,,,TRUE,FALSE,TRUE
R_PYRt2,Pyruvate transport in via proton symport,PYRt2,,,,TRUE,FALSE,TRUE
R_CO2t,CO2 transporter via diffusion,CO2t,,,,TRUE,FALSE,TRUE
R_D_LACt2,D lactate transport via proton symport,D_LACt2,,,,TRUE,FALSE,TRUE
R_SUCCt3,Succinate transport out via proton antiport,SUCCt3,,,,TRUE,FALSE,TRUE
R_ETOHt2r,Ethanol reversible transport via proton symport,ETOHt2r,,,,TRUE,FALSE,TRUE
R_FORt2,Formate transport in via proton symport,FORt2,,,,TRUE,FALSE,TRUE
R_FRUpts2,Fructose transport via PEP:Pyr PTS (f6p generating),FRUpts2,,,,TRUE,FALSE,TRUE
R_GLCpts,D-glucose transport via PEP:Pyr PTS,GLCpts,,,,TRUE,FALSE,TRUE
R_GLUt2r,L glutamate transport via proton symport  reversible,GLUt2r,,,,TRUE,FALSE,TRUE
R_O2t,O2 transport  diffusion ,O2t,,,,TRUE,FALSE,TRUE
