bigg_id,name,database_links,kegg,ec,rhea
EX_dmso_e,Dimethyl sulfoxide exchange,RHEA: http://identifiers.org/rhea/29699; RHEA: http://identifiers.org/rhea/29700; RHEA: http://identifiers.org/rhea/29701; RHEA: http://identifiers.org/rhea/29702; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-273; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR97533; SEED Reaction: http://identifiers.org/seed.reaction/rxn08358,,,29702
EX_doxrbcn_e,Doxorubicin exchange,RHEA: http://identifiers.org/rhea/35079; RHEA: http://identifiers.org/rhea/35080; RHEA: http://identifiers.org/rhea/35081; RHEA: http://identifiers.org/rhea/35082; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR97760,,,35082
EX_fe2_e,Fe2+ exchange,RHEA: http://identifiers.org/rhea/28486; RHEA: http://identifiers.org/rhea/28487; RHEA: http://identifiers.org/rhea/28488; RHEA: http://identifiers.org/rhea/28489; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN-8; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR99505; SEED Reaction: http://identifiers.org/seed.reaction/rxn08475; SEED Reaction: http://identifiers.org/seed.reaction/rxn08476; SEED Reaction: http://identifiers.org/seed.reaction/rxn10963; SEED Reaction: http://identifiers.org/seed.reaction/rxn13286,,,28489
EX_fe3_e,Fe3+ exchange,RHEA: http://identifiers.org/rhea/34971; RHEA: http://identifiers.org/rhea/34972; RHEA: http://identifiers.org/rhea/34973; RHEA: http://identifiers.org/rhea/34974; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR99522; Reactome Reaction: http://identifiers.org/reactome/R-BTA-442368; Reactome Reaction: http://identifiers.org/reactome/R-CFA-442368; Reactome Reaction: http://identifiers.org/reactome/R-GGA-442368; Reactome Reaction: http://identifiers.org/reactome/R-HSA-442368; Reactome Reaction: http://identifiers.org/reactome/R-MMU-442368; Reactome Reaction: http://identifiers.org/reactome/R-RNO-442368; Reactome Reaction: http://identifiers.org/reactome/R-SSC-442368; Reactome Reaction: http://identifiers.org/reactome/R-TGU-442368; SEED Reaction: http://identifiers.org/seed.reaction/rxn05292; SEED Reaction: http://identifiers.org/seed.reaction/rxn08492,,,34974
EX_frulys_e,Fructoselysine exchange,RHEA: http://identifiers.org/rhea/28454; RHEA: http://identifiers.org/rhea/28455; RHEA: http://identifiers.org/rhea/28456; RHEA: http://identifiers.org/rhea/28457; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-417; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR99657; SEED Reaction: http://identifiers.org/seed.reaction/rxn08534,,,28457
EX_g3pc_e,Sn-Glycero-3-phosphocholine exchange,RHEA: http://identifiers.org/rhea/32911; RHEA: http://identifiers.org/rhea/32912; RHEA: http://identifiers.org/rhea/32913; RHEA: http://identifiers.org/rhea/32914; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR99874; SEED Reaction: http://identifiers.org/seed.reaction/rxn08554; SEED Reaction: http://identifiers.org/seed.reaction/rxn13291,,,32914
EX_gal_e,D-Galactose exchange,RHEA: http://identifiers.org/rhea/34915; RHEA: http://identifiers.org/rhea/34916; RHEA: http://identifiers.org/rhea/34917; RHEA: http://identifiers.org/rhea/34918; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100025; SEED Reaction: http://identifiers.org/seed.reaction/rxn08585; SEED Reaction: http://identifiers.org/seed.reaction/rxn10911,,,34918
EX_galct__D_e,D-Galactarate exchange,RHEA: http://identifiers.org/rhea/28478; RHEA: http://identifiers.org/rhea/28479; RHEA: http://identifiers.org/rhea/28480; RHEA: http://identifiers.org/rhea/28481; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-203; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR99963; SEED Reaction: http://identifiers.org/seed.reaction/rxn08581; SEED Reaction: http://identifiers.org/seed.reaction/rxn12441,,,28481
EX_gbbtn_e,Gamma-butyrobetaine exchange,RHEA: http://identifiers.org/rhea/32835; RHEA: http://identifiers.org/rhea/32836; RHEA: http://identifiers.org/rhea/32837; RHEA: http://identifiers.org/rhea/32838; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100053; SEED Reaction: http://identifiers.org/seed.reaction/rxn08595,,,32838
EX_glcr_e,D-Glucarate exchange,RHEA: http://identifiers.org/rhea/28474; RHEA: http://identifiers.org/rhea/28475; RHEA: http://identifiers.org/rhea/28476; RHEA: http://identifiers.org/rhea/28477; BioCyc: http://identifiers.org/biocyc/META:TRANS-RXN0-204; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100222; SEED Reaction: http://identifiers.org/seed.reaction/rxn08614; SEED Reaction: http://identifiers.org/seed.reaction/rxn12442,,,28477
EX_glyc3p_e,Glycerol 3-phosphate exchange,RHEA: http://identifiers.org/rhea/34967; RHEA: http://identifiers.org/rhea/34968; RHEA: http://identifiers.org/rhea/34969; RHEA: http://identifiers.org/rhea/34970; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100308; SEED Reaction: http://identifiers.org/seed.reaction/rxn08643; SEED Reaction: http://identifiers.org/seed.reaction/rxn09749; SEED Reaction: http://identifiers.org/seed.reaction/rxn11234,,,34970
EX_hdca_e,Hexadecanoate (n-C16:0) exchange,RHEA: http://identifiers.org/rhea/45256; RHEA: http://identifiers.org/rhea/45257; RHEA: http://identifiers.org/rhea/45258; RHEA: http://identifiers.org/rhea/45259; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR99101; SEED Reaction: http://identifiers.org/seed.reaction/rxn08704; SEED Reaction: http://identifiers.org/seed.reaction/rxn09676; SEED Reaction: http://identifiers.org/seed.reaction/rxn09848,,,45259
EX_inost_e,Myo-Inositol exchange,RHEA: http://identifiers.org/rhea/32867; RHEA: http://identifiers.org/rhea/32868; RHEA: http://identifiers.org/rhea/32869; RHEA: http://identifiers.org/rhea/32870; MetaNetX (MNX) Equation: http://identifiers.org/metanetx.reaction/MNXR100848; SEED Reaction: http://identifiers.org/seed.reaction/rxn08755,,,32870
