EC,Name
4.2.3.3,methylglyoxal synthase
3.1.3.5,5'-nucleotidase
1.17.1.8,4-hydroxy-tetrahydrodipicolinate reductase
1.16.3.1,ferroxidase
2.1.1.298,ribosomal protein uL3 N5-glutamine methyltransferase
4.3.2.10,imidazole glycerol-phosphate synthase
1.8.4.8,phosphoadenylyl-sulfate reductase (thioredoxin)
2.7.2.11,glutamate 5-kinase
2.1.1.185,23S rRNA (guanosine2251-2'-O)-methyltransferase
2.1.1.191,23S rRNA (cytosine1962-C5)-methyltransferase
2.4.2.19,nicotinate-nucleotide diphosphorylase (carboxylating)
2.1.1.172,16S rRNA (guanine1207-N2)-methyltransferase
3.6.5.-,
2.4.1.25,4-alpha-glucanotransferase
2.1.1.163,demethylmenaquinone methyltransferase
1.-.-.-,
2.5.1.90,all-trans-octaprenyl-diphosphate synthase
2.8.1.6,biotin synthase
1.1.1.-,
1.1.1.133,dTDP-4-dehydrorhamnose reductase
3.5.1.-,
2.1.1.170,16S rRNA (guanine527-N7)-methyltransferase
3.1.4.16,"2',3'-cyclic-nucleotide 2'-phosphodiesterase"
3.4.16.4,serine-type D-Ala-D-Ala carboxypeptidase
2.1.2.-,
6.3.3.1,phosphoribosylformylglycinamidine cyclo-ligase
1.8.4.-,
2.8.1.-,
3.2.2.4,AMP nucleosidase
3.1.3.104,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase
2.3.3.8,ATP citrate synthase
